org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
EQ LXO,w OUX,WGX,MU75,ULTG,improbable,improbable,no,no,never,no,yes,yes,sunny,0.09,denied
CW AZT,y AVD,GVH,HO38,HKDO,improbable,probable,no,yes,sometimes,yes,no,no,stormy,0.22,permitted
DV WYY,j HZP,UVW,EL77,EXPJ,improbable,improbable,yes,no,never,yes,no,no,rainy,0.26,permitted
QR RUY,h ALX,GOJ,EJ98,ZXME,probable,probable,no,yes,sometimes,no,no,no,sunny,0.97,permitted
ZO ATT,u WHE,DSG,UZ72,ZPXE,improbable,probable,no,no,sometimes,no,no,no,cloudy,0.86,permitted
IN VRM,h JGX,XQY,SG00,VXTR,probable,probable,yes,no,sometimes,yes,no,no,stormy,0.6,permitted
GF PJY,i RFU,CNF,QN77,YCDZ,probable,improbable,no,yes,never,yes,no,no,rainy,0.51,permitted
OO ULB,p WOY,XTO,JZ64,HDEB,improbable,improbable,yes,no,always,no,yes,yes,stormy,0.73,permitted
CK AYL,j FLR,GUM,ON73,OTRG,probable,probable,no,no,always,no,no,yes,rainy,0.91,permitted
XW OQC,d MYY,VJH,KU62,MABC,improbable,probable,no,yes,never,yes,no,no,sunny,0.39,permitted
QQ GEE,h CYE,PKV,HC07,YREW,probable,probable,yes,no,never,yes,yes,yes,windy,0.36,permitted
FP EPH,t VAX,LBB,JN86,SFDL,improbable,improbable,yes,yes,sometimes,no,no,yes,windy,0.2,permitted
ZM KEI,r NZU,TXG,LI36,GEPP,probable,improbable,no,yes,never,no,yes,yes,rainy,0.09,denied
UV FBG,d TCJ,OBE,IH15,EPUH,probable,probable,no,no,sometimes,yes,no,no,cloudy,0.93,denied
XE BBE,p VDG,PQK,TK59,OFOL,probable,probable,yes,no,always,yes,yes,yes,cloudy,0.96,permitted
GY HOR,g WDA,TLV,RD21,DQPR,improbable,improbable,no,no,sometimes,yes,no,no,cloudy,0.8,permitted
police,vip,normal,a3,off,probable,probable,no,yes,sometimes,no,no,yes,rainy,0.76,permitted
LC WOV,d LUJ,AFG,JR58,NUVO,probable,improbable,no,no,always,no,yes,no,cloudy,0.88,permitted
KQ TOS,o RCL,POY,JL29,ETLU,improbable,probable,yes,yes,never,yes,yes,no,windy,0.93,permitted
VH IOZ,h CSS,BVC,NY02,GSPL,probable,improbable,yes,yes,never,yes,no,yes,windy,0.85,permitted
IX SMP,p VJR,BHC,VC28,WRGX,probable,improbable,no,no,sometimes,no,no,yes,windy,0.21,permitted
WF SDV,r HNE,PGY,HD18,IZSX,improbable,probable,yes,yes,always,yes,no,no,stormy,0.52,permitted
VC FQU,w JTB,QYG,PF83,ZGFI,improbable,improbable,yes,no,sometimes,no,yes,yes,rainy,0.52,denied
LJ GFU,g RXT,MSK,NA78,EVAX,probable,improbable,yes,no,sometimes,yes,no,yes,sunny,0.48,permitted
JW ZFA,g HQW,DUU,RL63,POUR,probable,improbable,no,yes,sometimes,yes,no,no,rainy,0.5,permitted
TD OHW,s RNL,CAE,GC10,CIWN,probable,improbable,yes,yes,sometimes,yes,yes,no,cloudy,0.44,permitted
ZV LKD,f JNG,YTJ,SB00,AUGP,probable,probable,no,no,sometimes,yes,no,no,rainy,0.07,permitted
EA PJQ,e XFN,NTS,QC76,JULI,improbable,improbable,yes,yes,sometimes,no,yes,yes,sunny,0.25,permitted
JA PXW,i HAA,MLM,BR60,CFML,improbable,improbable,no,no,always,no,no,no,sunny,0.84,permitted
OB BIU,n LOL,VBE,NF66,MTGZ,probable,probable,yes,yes,always,yes,yes,yes,windy,0.55,denied
caraccess,vip,normal,a2,off,probable,probable,no,yes,never,yes,no,yes,windy,0.64,permitted
others,normal,normal,a1,off,improbable,probable,no,yes,never,no,yes,no,stormy,0.74,denied
WP HQR,b IVN,NPE,QX46,VSVR,probable,probable,no,no,always,no,yes,yes,windy,0.49,permitted
MB AAQ,b JGT,TDU,AM88,LLFF,probable,improbable,yes,yes,sometimes,yes,no,yes,stormy,0.35,permitted
LX WNU,f IGR,LLQ,IF38,GIRS,probable,probable,no,no,never,no,no,yes,sunny,0.35,permitted
WE GZC,p BEY,OTO,GS83,CIWU,improbable,probable,no,yes,sometimes,no,no,yes,cloudy,0.78,permitted
KO QLM,w YMI,ANB,ZX14,XWKV,probable,probable,yes,no,sometimes,yes,yes,no,windy,0.65,permitted
QG NFN,c FHD,MNU,LP43,CIZU,improbable,improbable,no,yes,sometimes,no,no,no,windy,0.49,permitted
partner,vip,luxe,a1,peak,improbable,probable,yes,no,always,yes,no,no,sunny,0.38,permitted
NA AIA,b JQQ,RJR,HU46,NUGA,improbable,improbable,yes,yes,always,no,no,yes,stormy,0.27,denied
ST XWD,p IIU,FNN,FK69,VEOY,improbable,improbable,no,yes,never,no,no,no,rainy,0.06,permitted
FE WAE,p NBS,BXU,NY02,UCCY,improbable,probable,no,no,always,yes,yes,no,sunny,0.09,permitted
ZQ PBU,t IEO,ZOA,US19,FQGA,improbable,improbable,no,no,never,yes,no,yes,sunny,0.5,permitted
partner,vip,normal,a2,peak,probable,probable,no,yes,never,no,no,no,sunny,0.72,permitted
others,normal,luxe,a2,peak,improbable,probable,yes,no,sometimes,no,yes,no,sunny,0.45,permitted
CD MRG,d WMF,HWV,KX81,LNXN,improbable,improbable,no,no,sometimes,no,no,yes,cloudy,0.77,permitted
CD KHF,f WUJ,DZT,GE79,HHDM,improbable,improbable,yes,yes,sometimes,no,no,yes,rainy,0.87,permitted
SZ LIR,f ORU,YBP,WO36,ZHIE,probable,probable,yes,yes,sometimes,yes,yes,no,stormy,0.91,permitted
MP WNT,h OEY,VOC,WI26,VIOG,improbable,probable,no,no,sometimes,no,no,no,stormy,0.14,permitted
XZ FST,y DBZ,FYV,ZD01,LESK,improbable,probable,yes,no,never,yes,yes,yes,rainy,0.21,permitted
partner,normal,normal,a2,off,probable,probable,yes,yes,never,no,yes,yes,stormy,0.63,permitted
HQ AGV,b AIA,SCA,HT09,EECL,improbable,improbable,yes,no,never,yes,no,no,stormy,0.78,permitted
ZV VBB,m IIL,MRS,UJ29,OFEP,probable,probable,no,yes,always,yes,no,yes,windy,0.09,denied
GH JLG,l YWQ,XJE,DB51,CPFS,probable,probable,no,no,sometimes,yes,yes,yes,stormy,0.92,permitted
RT IGS,d WQK,PMO,XY75,PQSV,probable,probable,no,yes,sometimes,yes,no,yes,rainy,0.41,permitted
HW SAA,y ZDH,DMI,ZG77,SXVF,improbable,probable,yes,yes,sometimes,yes,no,no,rainy,0.05,permitted
ZN UCY,u CUQ,BBE,UW42,FDPR,probable,improbable,yes,yes,sometimes,yes,no,yes,windy,0.55,permitted
SR KOP,z KWO,OOL,MQ60,DACL,improbable,improbable,yes,yes,always,no,yes,yes,stormy,0.22,permitted
DN WVX,e HEA,LLU,YW19,EMVC,probable,probable,yes,yes,sometimes,no,no,no,stormy,0.75,permitted
XC FOH,x JFL,SOB,YW08,XHTI,probable,improbable,no,yes,always,yes,yes,no,cloudy,0.44,permitted
caraccess,normal,normal,a3,off,probable,improbable,no,yes,never,yes,no,no,stormy,0.57,denied
WH ZUP,l YUD,JTX,XI35,BUUL,improbable,probable,yes,yes,never,no,yes,yes,sunny,0.66,permitted
SX SHU,h ULS,SOB,LL19,MGNZ,probable,improbable,no,yes,sometimes,no,yes,no,windy,0.35,permitted
others,vip,normal,a3,peak,probable,probable,no,yes,sometimes,no,yes,no,windy,0.65,permitted
GU AAZ,r RBV,SIJ,XP27,MZCX,improbable,improbable,yes,no,sometimes,yes,no,no,stormy,0.2,permitted
caraccess,normal,normal,a2,peak,probable,probable,no,yes,never,yes,yes,no,stormy,0.97,permitted
OC VLC,v DSE,WBF,EB69,PBCO,improbable,improbable,yes,yes,sometimes,no,no,no,rainy,0.69,permitted
PG HJS,d CWG,XTD,YE23,XLRS,probable,probable,no,no,never,yes,no,no,rainy,0.91,permitted
partner,normal,normal,a1,off,probable,probable,no,yes,never,no,no,yes,stormy,0.21,permitted
OQ ADM,u SUG,NOS,EN46,IPTO,improbable,probable,no,no,sometimes,yes,no,no,cloudy,0.45,denied
II UYC,c SYX,EMN,RS78,MFLD,improbable,probable,no,yes,sometimes,yes,yes,no,rainy,0.51,permitted
SA NDG,p LWO,CRR,AJ12,NXIF,probable,probable,no,yes,sometimes,yes,no,no,windy,0.92,permitted
ZM RJV,v GSV,DPU,TP40,NSPF,improbable,improbable,yes,no,sometimes,no,no,yes,windy,0.53,permitted
NF YAC,q IUJ,WXM,XA38,AVXG,improbable,probable,no,no,sometimes,yes,no,yes,sunny,0.12,permitted
PC NHX,w RMO,WXZ,LS25,VNCP,improbable,probable,yes,yes,sometimes,no,no,yes,cloudy,0.57,permitted
TG TUQ,l URS,TMM,HM11,JCDB,improbable,probable,no,no,sometimes,yes,yes,yes,rainy,0.2,permitted
JE TPY,v DCL,QLN,ZX14,ENAJ,improbable,improbable,yes,no,sometimes,yes,yes,no,windy,0.67,permitted
RJ NZG,w JEY,PCA,VE89,WXDP,improbable,improbable,no,yes,sometimes,yes,no,no,sunny,0.9,permitted
XV BOD,j FNH,LKR,NZ22,BQTX,probable,probable,yes,no,never,yes,yes,no,cloudy,0.82,denied
IJ HUR,q AVP,ALH,RM14,HAQJ,probable,probable,yes,no,sometimes,yes,yes,no,windy,0.32,denied
XA MVU,m REG,DGV,EH84,RRWS,improbable,improbable,no,no,always,yes,yes,no,rainy,0.3,permitted
LX LYX,u XDJ,OVD,RW66,OKAV,improbable,probable,yes,no,sometimes,yes,no,no,stormy,0.72,permitted
police,normal,luxe,a1,peak,improbable,improbable,yes,no,never,yes,no,yes,rainy,0.9,permitted
JP JAN,b RFM,ZFS,LG45,LSBK,probable,improbable,yes,no,sometimes,yes,yes,no,windy,0.97,permitted
EX ZMI,a VUS,FFC,AV47,QCBY,probable,improbable,yes,yes,always,yes,yes,yes,rainy,0.43,permitted
PM NQN,q MVX,EBE,NA69,JAGP,improbable,probable,yes,no,sometimes,no,no,yes,cloudy,0.66,permitted
DS QGW,j LSZ,ZXE,HK98,OEFH,improbable,improbable,no,yes,sometimes,no,no,no,cloudy,0.61,permitted
TQ CWD,o LHH,VQM,ZA49,JOGX,improbable,improbable,no,no,sometimes,no,no,yes,cloudy,0.45,permitted
LF FNZ,t YEZ,UYN,TE61,SMDL,probable,probable,yes,no,always,no,no,yes,stormy,0.38,permitted
HQ ZXZ,v GGE,SVI,DZ10,FDDC,probable,improbable,yes,no,never,no,no,yes,windy,0.47,permitted
VQ ZEA,z IYH,WEE,FL03,UOIH,probable,improbable,no,no,never,yes,no,yes,rainy,0.24,permitted
EV QDG,s FOI,CBH,GB38,PSKA,improbable,improbable,no,no,sometimes,no,yes,no,cloudy,0.08,permitted
FC BZE,v JFK,ZUX,LT86,WLXZ,improbable,probable,no,yes,always,yes,yes,no,cloudy,0.21,permitted
KS CAU,g TVG,EWL,KM07,OORS,probable,improbable,no,no,sometimes,no,no,yes,stormy,0.57,denied
EU NDP,g USJ,HTE,MG69,YWOS,probable,improbable,no,yes,always,no,no,no,windy,0.99,permitted
DW DKT,o NEV,TVM,WO46,UXWD,probable,probable,yes,yes,sometimes,no,yes,yes,cloudy,0.12,denied
BX BEH,x EYR,BQF,LM96,WWXF,probable,improbable,no,no,never,no,yes,yes,rainy,0.04,permitted
caraccess,blacklisted,luxe,a3,peak,improbable,probable,yes,no,always,no,yes,no,sunny,0.19,denied
IJ EPF,t BYW,FCJ,GF52,ELFU,improbable,probable,no,yes,never,yes,yes,yes,cloudy,0.79,denied
UM PDN,w FIU,LPX,SS29,MMOS,probable,probable,yes,yes,always,yes,no,yes,stormy,0.71,permitted
TC RAE,y TEH,WLI,OJ28,ZUJX,improbable,probable,no,yes,never,no,no,no,windy,0.71,permitted
XE LOD,b DIB,GEB,UG37,HYWT,probable,probable,yes,no,never,yes,no,yes,stormy,0.76,permitted
OK DHS,o BYA,QGB,ZS59,VPNQ,improbable,probable,no,yes,always,yes,no,no,cloudy,0.1,permitted
YD IXH,b VNR,XYW,YV09,RPWV,improbable,improbable,yes,yes,sometimes,no,yes,no,stormy,0.14,permitted
DF NTG,t CPA,BYK,OG24,SXGQ,improbable,probable,no,yes,sometimes,no,no,no,windy,0.2,permitted
XL PPV,m FEF,XBV,XK87,NCME,probable,probable,yes,yes,sometimes,yes,yes,no,sunny,0.96,permitted
ZC SUT,h PSL,EFB,AU69,UFLE,probable,improbable,yes,yes,never,yes,yes,yes,rainy,0.8,denied
HA UKA,x EOT,ASP,IY80,OYNF,improbable,probable,yes,no,always,no,yes,yes,cloudy,0.33,denied
QZ SJJ,h FJL,ETX,HN98,XBNL,improbable,improbable,no,no,always,yes,no,yes,stormy,0.65,permitted
NM VYM,v WUW,RVT,AN90,QYBM,probable,improbable,no,no,never,yes,no,yes,rainy,0.26,permitted
partner,vip,normal,a1,off,probable,probable,no,yes,never,no,no,yes,cloudy,0.29,permitted
JW VQX,d FYV,RFX,FQ96,RXLK,probable,improbable,no,no,never,yes,yes,no,sunny,0.73,permitted
police,normal,luxe,a2,off,improbable,probable,yes,no,always,no,no,yes,windy,0.46,permitted
EG ELM,p MON,LTJ,EW19,VEQJ,probable,improbable,no,no,never,yes,yes,no,sunny,0.85,permitted
ZR HPO,v ARK,GGL,HB47,UFFA,improbable,improbable,yes,yes,sometimes,no,no,yes,cloudy,0.83,permitted
others,vip,luxe,a2,peak,improbable,improbable,yes,no,always,no,no,yes,stormy,0.84,permitted
YZ APN,r UDS,HQP,XV36,YLVM,probable,improbable,no,yes,sometimes,no,no,no,cloudy,0.86,permitted
IJ XHD,p YZL,HBV,WQ30,VJPZ,improbable,improbable,no,yes,sometimes,no,no,yes,windy,0.28,permitted
IP ZUU,h QRZ,BJQ,UD45,TBGG,improbable,improbable,yes,yes,never,no,yes,no,rainy,0.19,permitted
AB LPI,o FSW,ZXZ,HG40,JAVZ,improbable,probable,no,yes,sometimes,no,no,no,sunny,0.71,permitted
NO LRH,h SWI,BKX,SZ59,YXTR,probable,improbable,yes,no,sometimes,yes,yes,no,rainy,0.8,permitted
CV QED,x LRE,NQQ,IM49,EERZ,probable,probable,no,no,always,yes,no,yes,stormy,0.53,permitted
CD EEQ,w QHS,GLQ,KD64,EZLZ,probable,improbable,yes,yes,sometimes,no,yes,yes,sunny,0.24,permitted
AO YBX,w IXH,WUF,BL03,CNUO,improbable,improbable,yes,no,always,yes,no,no,windy,0.18,permitted
PC ZVH,n EJV,UHG,SC35,IYSZ,probable,probable,yes,no,always,yes,no,no,cloudy,0.23,permitted
DR KMU,z BXO,RHY,RV54,XUCU,probable,probable,yes,yes,never,yes,yes,no,cloudy,0.14,permitted
SY TKX,m NXD,VYY,II61,RSYQ,improbable,improbable,yes,no,always,yes,yes,yes,stormy,0.73,permitted
XD PCN,u OEF,LHG,YE76,XOGJ,improbable,probable,yes,yes,always,no,yes,yes,sunny,0.7,denied
HQ WRH,z KQM,OEN,BU78,BBFF,probable,probable,yes,yes,sometimes,yes,yes,yes,cloudy,0.21,permitted
police,blacklisted,normal,a3,peak,probable,probable,no,yes,never,yes,no,yes,sunny,0.55,denied
police,blacklisted,luxe,a2,peak,improbable,improbable,yes,no,always,yes,yes,yes,stormy,0.37,denied
DN CLT,e HDR,NRY,WI49,JPCQ,probable,probable,yes,yes,never,no,no,yes,windy,0.23,denied
XK UFW,x YJM,NHF,CM09,LXCI,probable,probable,yes,no,never,yes,yes,yes,cloudy,0.79,permitted
partner,normal,normal,a1,peak,probable,probable,no,no,always,yes,yes,no,stormy,0.24,permitted
ES KOZ,e UAX,UZS,RX85,BCFK,probable,probable,yes,yes,always,no,yes,no,cloudy,0.36,permitted
HJ EDD,l ZGK,ROX,OH64,SROX,probable,improbable,no,yes,never,yes,no,yes,stormy,0.73,permitted
PQ NOL,a FQF,NKV,BZ81,FGJM,improbable,probable,yes,no,never,yes,yes,no,rainy,0.67,permitted
YN LUF,v LBE,MVC,DQ28,RUNZ,improbable,probable,no,no,always,no,no,no,windy,0.55,permitted
XJ PCQ,u HBR,JGV,WK86,BRWB,probable,probable,yes,yes,always,yes,yes,no,sunny,0.92,permitted
YN RHP,v KGB,BQM,DB11,ZWAC,probable,improbable,no,yes,never,no,yes,no,sunny,0.89,permitted
OS INL,b RSA,UNS,AV66,UVCD,probable,probable,yes,yes,always,yes,no,yes,sunny,0.33,permitted
partner,vip,normal,a2,off,probable,probable,no,yes,never,yes,no,yes,rainy,0.74,permitted
partner,normal,luxe,a3,peak,improbable,improbable,yes,yes,always,no,no,yes,rainy,0.84,permitted
FN QLY,w EGN,YER,SA67,SCXT,probable,probable,yes,no,always,no,yes,no,rainy,0.26,permitted
HW OIZ,t IZH,YBO,TJ31,GTRP,improbable,improbable,yes,no,sometimes,yes,no,no,windy,0.38,permitted
BC UZP,h HWN,BSK,OS16,CYVO,probable,probable,yes,no,always,no,yes,no,sunny,0.96,permitted
SY KBR,a IAW,QQR,QF44,CKZD,improbable,improbable,no,yes,never,yes,no,no,windy,0.9,denied
others,blacklisted,luxe,a2,off,improbable,improbable,yes,no,sometimes,yes,no,yes,windy,0.81,denied
police,vip,luxe,a3,peak,probable,improbable,yes,no,sometimes,yes,yes,no,sunny,0.24,permitted
FX OMK,z QWK,PJI,TB47,AFJT,probable,probable,yes,yes,always,yes,yes,yes,windy,0.97,permitted
IT ENB,v QJF,RYR,TO68,OTID,improbable,probable,no,no,never,no,no,yes,sunny,0.27,permitted
caraccess,vip,luxe,a1,off,improbable,improbable,yes,no,sometimes,no,no,no,stormy,0.57,denied
ZG GEM,r DWT,MYO,SA31,RUVS,improbable,probable,no,yes,never,yes,yes,no,sunny,0.42,denied
WD NWY,x WEN,TNU,HE87,SRUS,improbable,improbable,yes,yes,sometimes,yes,no,no,sunny,0.18,permitted
PO UYE,x YZW,GRU,ST58,IEOO,probable,probable,no,no,sometimes,yes,no,yes,stormy,0.59,permitted
ZP TAG,n AFC,PSF,WH71,MIMS,improbable,probable,no,no,always,yes,yes,yes,cloudy,0.61,permitted
KZ VUX,d ONH,WJQ,TD00,ALVL,improbable,improbable,yes,yes,never,no,no,no,rainy,0.82,permitted
YU STG,h PQI,QJT,LL97,LHNE,probable,improbable,yes,no,always,no,no,no,stormy,0.72,permitted
LN IDN,r CJE,YCA,GU95,VMNZ,probable,probable,no,no,sometimes,yes,no,yes,rainy,0.95,denied
OR WOU,h NJE,WRC,JF38,RSCB,probable,probable,yes,no,sometimes,no,yes,no,stormy,0.07,permitted
LY HOW,d CON,WSC,RN91,YVJN,probable,improbable,yes,yes,never,yes,no,yes,cloudy,0.17,permitted
TL FLP,e ZRD,FTT,ZS24,AGHF,improbable,improbable,yes,no,sometimes,yes,no,no,rainy,0.75,permitted
RI FHZ,s XJU,FIZ,JL72,XXUP,probable,improbable,yes,no,sometimes,yes,no,yes,windy,0.33,permitted
WI TJG,t YCN,RZJ,ZW19,RSAH,probable,improbable,yes,no,never,yes,no,no,rainy,0.14,permitted
VL IOO,k KBZ,SYZ,PR20,XNAB,improbable,probable,yes,yes,never,no,yes,no,cloudy,0.14,denied
OU LFC,b PQV,XLX,LB18,GTEV,improbable,probable,yes,no,sometimes,no,yes,yes,sunny,0.33,permitted
RH XJN,x MAD,ITC,CU49,IXCJ,improbable,probable,yes,no,sometimes,yes,yes,yes,sunny,0.47,permitted
HM TIR,g DWF,YRR,TB82,QLXK,probable,probable,no,yes,sometimes,yes,no,no,stormy,0.45,permitted
CD OCR,n WBW,MNL,KB19,ANBT,probable,improbable,yes,yes,never,no,yes,no,rainy,0.58,permitted
QV WNK,j QIB,GZU,PJ78,SGNG,improbable,probable,no,yes,always,yes,yes,yes,cloudy,0.81,permitted
SO XBN,b MJV,FRN,LD90,FYSR,improbable,probable,yes,no,always,yes,no,yes,sunny,0.57,permitted
BF NQD,z UNF,GNA,RP73,UEYZ,improbable,improbable,no,no,never,yes,no,no,rainy,0.9,permitted
