org,role,view,activity,context,proba,decision
DX TGW,s NTR,PVL,IV01,RBIG,0.08,permitted
HU SXT,e ZXF,BGV,AD79,GOHU,0.43,denied
caraccess,normal,luxe,a3,peak,0.91,denied
WH LNR,m HIT,FXJ,RT59,ELZO,0.01,permitted
MZ LUJ,l QOR,FOS,AZ24,WZMM,0.78,permitted
MO ZLZ,k OUX,UWW,GO40,KKCN,0.42,permitted
others,vip,luxe,a3,off,0.1,denied
RM RSU,l JVT,MLQ,ET52,QOLG,0.14,permitted
others,blacklisted,luxe,a1,peak,0.01,denied
NS LGW,w DGX,SEC,ZM37,OYAB,0.65,permitted
HZ WJO,y NLP,ADD,VC59,KNEG,0.56,permitted
NM GXG,n GRM,TXA,CP54,YDID,0.22,permitted
DZ VSH,a DZC,TWK,RO82,TYMJ,0.84,permitted
BI DQY,y IFC,HXJ,MG95,VCET,0.83,permitted
VK RFW,d GZT,YXC,IN87,WOPD,0.72,permitted
caraccess,normal,normal,a1,off,0.12,permitted
VI VUN,x BLB,PYW,HX25,FSQZ,0.06,permitted
WF QAX,h GHX,TVZ,JT25,NVNE,0.72,permitted
HM AIU,c KJI,LMA,QL71,FKSO,0.22,permitted
caraccess,normal,normal,a3,peak,0.8,permitted
GU LXM,y HDV,PKT,IC38,TAGC,0.27,permitted
others,normal,luxe,a3,peak,0.64,permitted
OT CPO,s GHK,ZVU,LA54,FZLA,0.72,permitted
YU XJV,a CRG,NNN,CD69,XPXT,0.26,permitted
FC PHB,l QLI,GIG,PM30,DEAP,0.41,denied
HS SGY,v ZSK,OCJ,HE76,IZMK,0.12,denied
ED LEE,c LCP,TNV,TE36,ZSPH,0.01,permitted
caraccess,vip,normal,a1,peak,0.68,permitted
FC BOP,k EWQ,NYI,TE04,JYTH,0.85,permitted
GK WBU,x UPR,TDD,UI70,IGDN,0.08,permitted
WE DBO,i DMG,MJX,TW13,NXFI,0.35,denied
IQ FBG,z IDI,CHR,YD56,KTPX,0.83,denied
HL LME,w WYE,DTE,XX61,SAAE,0.48,permitted
police,blacklisted,luxe,a2,off,0.45,denied
EQ LXO,w OUX,WGX,MU75,ULTG,0.09,denied
CW AZT,y AVD,GVH,HO38,HKDO,0.22,permitted
DV WYY,j HZP,UVW,EL77,EXPJ,0.26,permitted
QR RUY,h ALX,GOJ,EJ98,ZXME,0.97,permitted
ZO ATT,u WHE,DSG,UZ72,ZPXE,0.86,permitted
IN VRM,h JGX,XQY,SG00,VXTR,0.6,permitted
GF PJY,i RFU,CNF,QN77,YCDZ,0.51,permitted
OO ULB,p WOY,XTO,JZ64,HDEB,0.73,permitted
CK AYL,j FLR,GUM,ON73,OTRG,0.91,permitted
XW OQC,d MYY,VJH,KU62,MABC,0.39,permitted
QQ GEE,h CYE,PKV,HC07,YREW,0.36,permitted
FP EPH,t VAX,LBB,JN86,SFDL,0.2,permitted
ZM KEI,r NZU,TXG,LI36,GEPP,0.09,denied
UV FBG,d TCJ,OBE,IH15,EPUH,0.93,denied
XE BBE,p VDG,PQK,TK59,OFOL,0.96,permitted
GY HOR,g WDA,TLV,RD21,DQPR,0.8,permitted
police,vip,normal,a3,off,0.76,permitted
LC WOV,d LUJ,AFG,JR58,NUVO,0.88,permitted
KQ TOS,o RCL,POY,JL29,ETLU,0.93,permitted
VH IOZ,h CSS,BVC,NY02,GSPL,0.85,permitted
IX SMP,p VJR,BHC,VC28,WRGX,0.21,permitted
WF SDV,r HNE,PGY,HD18,IZSX,0.52,permitted
VC FQU,w JTB,QYG,PF83,ZGFI,0.52,denied
LJ GFU,g RXT,MSK,NA78,EVAX,0.48,permitted
JW ZFA,g HQW,DUU,RL63,POUR,0.5,permitted
TD OHW,s RNL,CAE,GC10,CIWN,0.44,permitted
ZV LKD,f JNG,YTJ,SB00,AUGP,0.07,permitted
EA PJQ,e XFN,NTS,QC76,JULI,0.25,permitted
JA PXW,i HAA,MLM,BR60,CFML,0.84,permitted
OB BIU,n LOL,VBE,NF66,MTGZ,0.55,denied
caraccess,vip,normal,a2,off,0.64,permitted
others,normal,normal,a1,off,0.74,denied
WP HQR,b IVN,NPE,QX46,VSVR,0.49,permitted
MB AAQ,b JGT,TDU,AM88,LLFF,0.35,permitted
LX WNU,f IGR,LLQ,IF38,GIRS,0.35,permitted
WE GZC,p BEY,OTO,GS83,CIWU,0.78,permitted
KO QLM,w YMI,ANB,ZX14,XWKV,0.65,permitted
QG NFN,c FHD,MNU,LP43,CIZU,0.49,permitted
partner,vip,luxe,a1,peak,0.38,permitted
NA AIA,b JQQ,RJR,HU46,NUGA,0.27,denied
ST XWD,p IIU,FNN,FK69,VEOY,0.06,permitted
FE WAE,p NBS,BXU,NY02,UCCY,0.09,permitted
ZQ PBU,t IEO,ZOA,US19,FQGA,0.5,permitted
partner,vip,normal,a2,peak,0.72,permitted
others,normal,luxe,a2,peak,0.45,permitted
CD MRG,d WMF,HWV,KX81,LNXN,0.77,permitted
CD KHF,f WUJ,DZT,GE79,HHDM,0.87,permitted
SZ LIR,f ORU,YBP,WO36,ZHIE,0.91,permitted
MP WNT,h OEY,VOC,WI26,VIOG,0.14,permitted
XZ FST,y DBZ,FYV,ZD01,LESK,0.21,permitted
partner,normal,normal,a2,off,0.63,permitted
HQ AGV,b AIA,SCA,HT09,EECL,0.78,permitted
ZV VBB,m IIL,MRS,UJ29,OFEP,0.09,denied
GH JLG,l YWQ,XJE,DB51,CPFS,0.92,permitted
RT IGS,d WQK,PMO,XY75,PQSV,0.41,permitted
HW SAA,y ZDH,DMI,ZG77,SXVF,0.05,permitted
ZN UCY,u CUQ,BBE,UW42,FDPR,0.55,permitted
SR KOP,z KWO,OOL,MQ60,DACL,0.22,permitted
DN WVX,e HEA,LLU,YW19,EMVC,0.75,permitted
XC FOH,x JFL,SOB,YW08,XHTI,0.44,permitted
caraccess,normal,normal,a3,off,0.57,denied
WH ZUP,l YUD,JTX,XI35,BUUL,0.66,permitted
SX SHU,h ULS,SOB,LL19,MGNZ,0.35,permitted
others,vip,normal,a3,peak,0.65,permitted
GU AAZ,r RBV,SIJ,XP27,MZCX,0.2,permitted
caraccess,normal,normal,a2,peak,0.97,permitted
OC VLC,v DSE,WBF,EB69,PBCO,0.69,permitted
PG HJS,d CWG,XTD,YE23,XLRS,0.91,permitted
partner,normal,normal,a1,off,0.21,permitted
OQ ADM,u SUG,NOS,EN46,IPTO,0.45,denied
II UYC,c SYX,EMN,RS78,MFLD,0.51,permitted
SA NDG,p LWO,CRR,AJ12,NXIF,0.92,permitted
ZM RJV,v GSV,DPU,TP40,NSPF,0.53,permitted
NF YAC,q IUJ,WXM,XA38,AVXG,0.12,permitted
PC NHX,w RMO,WXZ,LS25,VNCP,0.57,permitted
TG TUQ,l URS,TMM,HM11,JCDB,0.2,permitted
JE TPY,v DCL,QLN,ZX14,ENAJ,0.67,permitted
RJ NZG,w JEY,PCA,VE89,WXDP,0.9,permitted
XV BOD,j FNH,LKR,NZ22,BQTX,0.82,denied
IJ HUR,q AVP,ALH,RM14,HAQJ,0.32,denied
XA MVU,m REG,DGV,EH84,RRWS,0.3,permitted
LX LYX,u XDJ,OVD,RW66,OKAV,0.72,permitted
police,normal,luxe,a1,peak,0.9,permitted
JP JAN,b RFM,ZFS,LG45,LSBK,0.97,permitted
EX ZMI,a VUS,FFC,AV47,QCBY,0.43,permitted
PM NQN,q MVX,EBE,NA69,JAGP,0.66,permitted
DS QGW,j LSZ,ZXE,HK98,OEFH,0.61,permitted
TQ CWD,o LHH,VQM,ZA49,JOGX,0.45,permitted
LF FNZ,t YEZ,UYN,TE61,SMDL,0.38,permitted
HQ ZXZ,v GGE,SVI,DZ10,FDDC,0.47,permitted
VQ ZEA,z IYH,WEE,FL03,UOIH,0.24,permitted
EV QDG,s FOI,CBH,GB38,PSKA,0.08,permitted
FC BZE,v JFK,ZUX,LT86,WLXZ,0.21,permitted
KS CAU,g TVG,EWL,KM07,OORS,0.57,denied
EU NDP,g USJ,HTE,MG69,YWOS,0.99,permitted
DW DKT,o NEV,TVM,WO46,UXWD,0.12,denied
BX BEH,x EYR,BQF,LM96,WWXF,0.04,permitted
caraccess,blacklisted,luxe,a3,peak,0.19,denied
IJ EPF,t BYW,FCJ,GF52,ELFU,0.79,denied
UM PDN,w FIU,LPX,SS29,MMOS,0.71,permitted
TC RAE,y TEH,WLI,OJ28,ZUJX,0.71,permitted
XE LOD,b DIB,GEB,UG37,HYWT,0.76,permitted
OK DHS,o BYA,QGB,ZS59,VPNQ,0.1,permitted
YD IXH,b VNR,XYW,YV09,RPWV,0.14,permitted
DF NTG,t CPA,BYK,OG24,SXGQ,0.2,permitted
XL PPV,m FEF,XBV,XK87,NCME,0.96,permitted
ZC SUT,h PSL,EFB,AU69,UFLE,0.8,denied
HA UKA,x EOT,ASP,IY80,OYNF,0.33,denied
QZ SJJ,h FJL,ETX,HN98,XBNL,0.65,permitted
NM VYM,v WUW,RVT,AN90,QYBM,0.26,permitted
partner,vip,normal,a1,off,0.29,permitted
JW VQX,d FYV,RFX,FQ96,RXLK,0.73,permitted
police,normal,luxe,a2,off,0.46,permitted
EG ELM,p MON,LTJ,EW19,VEQJ,0.85,permitted
ZR HPO,v ARK,GGL,HB47,UFFA,0.83,permitted
others,vip,luxe,a2,peak,0.84,permitted
YZ APN,r UDS,HQP,XV36,YLVM,0.86,permitted
IJ XHD,p YZL,HBV,WQ30,VJPZ,0.28,permitted
IP ZUU,h QRZ,BJQ,UD45,TBGG,0.19,permitted
AB LPI,o FSW,ZXZ,HG40,JAVZ,0.71,permitted
NO LRH,h SWI,BKX,SZ59,YXTR,0.8,permitted
CV QED,x LRE,NQQ,IM49,EERZ,0.53,permitted
CD EEQ,w QHS,GLQ,KD64,EZLZ,0.24,permitted
AO YBX,w IXH,WUF,BL03,CNUO,0.18,permitted
PC ZVH,n EJV,UHG,SC35,IYSZ,0.23,permitted
DR KMU,z BXO,RHY,RV54,XUCU,0.14,permitted
SY TKX,m NXD,VYY,II61,RSYQ,0.73,permitted
XD PCN,u OEF,LHG,YE76,XOGJ,0.7,denied
HQ WRH,z KQM,OEN,BU78,BBFF,0.21,permitted
police,blacklisted,normal,a3,peak,0.55,denied
police,blacklisted,luxe,a2,peak,0.37,denied
DN CLT,e HDR,NRY,WI49,JPCQ,0.23,denied
XK UFW,x YJM,NHF,CM09,LXCI,0.79,permitted
partner,normal,normal,a1,peak,0.24,permitted
ES KOZ,e UAX,UZS,RX85,BCFK,0.36,permitted
HJ EDD,l ZGK,ROX,OH64,SROX,0.73,permitted
PQ NOL,a FQF,NKV,BZ81,FGJM,0.67,permitted
YN LUF,v LBE,MVC,DQ28,RUNZ,0.55,permitted
XJ PCQ,u HBR,JGV,WK86,BRWB,0.92,permitted
YN RHP,v KGB,BQM,DB11,ZWAC,0.89,permitted
OS INL,b RSA,UNS,AV66,UVCD,0.33,permitted
partner,vip,normal,a2,off,0.74,permitted
partner,normal,luxe,a3,peak,0.84,permitted
FN QLY,w EGN,YER,SA67,SCXT,0.26,permitted
HW OIZ,t IZH,YBO,TJ31,GTRP,0.38,permitted
BC UZP,h HWN,BSK,OS16,CYVO,0.96,permitted
SY KBR,a IAW,QQR,QF44,CKZD,0.9,denied
others,blacklisted,luxe,a2,off,0.81,denied
police,vip,luxe,a3,peak,0.24,permitted
FX OMK,z QWK,PJI,TB47,AFJT,0.97,permitted
IT ENB,v QJF,RYR,TO68,OTID,0.27,permitted
caraccess,vip,luxe,a1,off,0.57,denied
ZG GEM,r DWT,MYO,SA31,RUVS,0.42,denied
WD NWY,x WEN,TNU,HE87,SRUS,0.18,permitted
PO UYE,x YZW,GRU,ST58,IEOO,0.59,permitted
ZP TAG,n AFC,PSF,WH71,MIMS,0.61,permitted
KZ VUX,d ONH,WJQ,TD00,ALVL,0.82,permitted
YU STG,h PQI,QJT,LL97,LHNE,0.72,permitted
LN IDN,r CJE,YCA,GU95,VMNZ,0.95,denied
OR WOU,h NJE,WRC,JF38,RSCB,0.07,permitted
LY HOW,d CON,WSC,RN91,YVJN,0.17,permitted
TL FLP,e ZRD,FTT,ZS24,AGHF,0.75,permitted
RI FHZ,s XJU,FIZ,JL72,XXUP,0.33,permitted
WI TJG,t YCN,RZJ,ZW19,RSAH,0.14,permitted
VL IOO,k KBZ,SYZ,PR20,XNAB,0.14,denied
OU LFC,b PQV,XLX,LB18,GTEV,0.33,permitted
RH XJN,x MAD,ITC,CU49,IXCJ,0.47,permitted
HM TIR,g DWF,YRR,TB82,QLXK,0.45,permitted
CD OCR,n WBW,MNL,KB19,ANBT,0.58,permitted
QV WNK,j QIB,GZU,PJ78,SGNG,0.81,permitted
SO XBN,b MJV,FRN,LD90,FYSR,0.57,permitted
BF NQD,z UNF,GNA,RP73,UEYZ,0.9,permitted
HK OCL,d FBG,QIX,IW14,NMIN,0.98,permitted
IU GPP,j DUZ,IMX,MW72,QSQT,0.99,permitted
VA WRS,k PXB,BZX,IX74,XECA,0.52,permitted
XA ZIO,m FSL,UFL,CT25,ACTD,0.65,permitted
US BWO,e EUQ,HWN,RX65,AOXB,0.77,denied
ZX FNX,r URH,ASC,FT06,NFWQ,0.15,permitted
caraccess,vip,normal,a3,off,0.18,denied
EP CHA,o XUI,GEM,FZ21,WFEL,0.75,permitted
CG BQQ,w LDD,KXZ,OC13,TAMJ,0.53,permitted
II PVO,g DIS,NNY,SI93,SOTK,0.91,permitted
NY PUP,z HQW,YCT,SH74,SDQW,0.26,permitted
HB XFB,m TTZ,ZPX,UM41,CBHU,0.47,permitted
HP FII,l NPZ,UPZ,RU01,TDXI,0.61,denied
FO KLC,x PXQ,RZW,DN08,BJIF,0.05,permitted
KZ KVP,m LAC,DBK,OF35,YKNJ,0.03,permitted
BK ZPI,t UTF,VOV,ME24,FSBW,0.01,permitted
QZ GGZ,a JMI,JGU,OF54,REFI,0.06,permitted
SW TSS,k NHC,IHS,XL16,LJHB,0.2,denied
SG SVI,a VZN,ZZZ,TL63,CGTW,0.29,permitted
KL AVQ,f ZGS,RQF,YO36,VEMH,0.47,permitted
DL ETB,k PER,VRF,YB23,WVGB,0.27,permitted
RF UXC,d WCD,UME,CI82,GSOJ,0.95,permitted
caraccess,blacklisted,normal,a1,peak,0.34,denied
EQ FRR,u ODS,KLC,RM43,KQSR,0.4,permitted
UM CRD,t RFO,HJW,XB60,MTZB,0.15,denied
KQ PXC,x QZB,GQM,TY49,LDIA,0.5,denied
GT KRH,k PQS,CXU,BT73,TXUN,0.54,permitted
KD CHO,m GSX,SST,SX55,FFOA,0.91,permitted
QK LUD,b ADS,BPG,FZ65,YTAC,0.73,permitted
NZ VVA,t FHC,WHV,PH61,VEZD,0.06,denied
WY AWW,q RMJ,AAZ,YF29,WOUP,0.05,denied
police,normal,luxe,a3,off,0.96,permitted
FF UWG,h KQZ,OKB,ZN76,SWZI,0.56,denied
NI ZID,l PFB,BDX,CL08,TRHI,0.03,denied
others,vip,normal,a2,peak,0.46,permitted
YM DFV,m WDW,SMD,SE79,DVDU,0.44,denied
WT USU,z CPE,IYJ,BF53,PDRI,0.64,permitted
QT CJC,e MMO,RWJ,TG69,MDML,0.53,denied
VI UBL,q NCS,QBN,WL22,HJOF,0.5,denied
others,vip,normal,a1,off,0.22,permitted
RL YWY,q JWG,ZZG,BA87,SKCD,0.09,permitted
DZ LCC,g AAC,LVH,RV49,NUKD,0.31,permitted
CA VJM,c VRN,NWZ,IH99,BQKE,0.08,permitted
JN DLO,k CEI,MNT,QF47,IDTL,0.41,permitted
IL LHZ,h OFT,GBK,IW51,IMZU,0.08,permitted
QR FIA,k HHN,ICP,RJ81,GCCF,0.2,denied
JO NVH,q GIT,JSW,EC02,PNFR,0.45,permitted
NA AUF,n XST,COY,RO88,DZOH,0.02,denied
VB TGW,n QDI,WUZ,LW52,CILV,0.99,permitted
FC WWV,z HHM,VQZ,PK22,WUKW,0.01,permitted
FO VHC,c WUN,PEY,AX05,FKFA,0.67,denied
DA GHS,z KQY,CFR,NX48,ZVKE,0.69,permitted
ZG DQF,x JZO,NLB,ZW12,WOZB,0.02,permitted
WA FSQ,m RHQ,XTX,CY05,GQVS,0.4,permitted
ER NFZ,g NXC,AIM,XS42,HCEG,0.76,permitted
FV EKU,n EYG,MJR,HM99,KDOG,0.29,permitted
others,normal,normal,a1,peak,0.07,permitted
caraccess,vip,normal,a2,peak,0.34,permitted
BY WHZ,d CWR,YRL,FO33,WANU,0.32,permitted
UB LEI,o KER,QAD,UV09,KSNS,0.04,permitted
others,blacklisted,normal,a2,off,0.19,denied
HO UCB,m CMO,FYC,EJ06,KZYH,0.59,permitted
CG YWO,f QOG,DDF,JE57,MJOW,0.58,permitted
GO LGL,i GZQ,TYT,OJ16,RTRP,0.29,permitted
SF IOJ,b UNE,UPL,KI57,FUXD,0.22,permitted
EJ YAA,b MVX,WUQ,JV62,KLZL,0.46,permitted
KW VTS,s YIJ,YLZ,AU81,YOBD,0.34,permitted
HJ GGS,g ENY,UXQ,OP41,OGFT,0.44,permitted
IK ZTI,k NBK,IMQ,PA00,IXYI,0.14,permitted
NW ZEV,k IDG,ZVT,ED92,LETD,0.29,denied
GJ AWF,e BFC,CCJ,HR13,ZPDT,0.81,permitted
QS TAZ,k HXB,AXF,HQ57,UOSY,0.56,permitted
DM NCM,t TKA,HJV,TC18,MDER,0.55,permitted
MO OME,p NQR,UXJ,UR42,WMXE,0.66,denied
DL BNT,l ORB,JTR,YR70,VNVB,0.93,permitted
UX FNU,o QTT,XBI,VH84,OJCW,0.08,permitted
YB DAV,k DMB,AEK,ZM83,OFMY,0.9,permitted
QM OCU,o QJB,OTG,GJ32,BARF,0.8,permitted
MV NPE,b MYT,TEU,WB95,WRCX,0.97,permitted
partner,normal,luxe,a3,off,0.83,denied
IY JED,c GYB,DUM,PE34,IVDH,0.26,permitted
police,vip,luxe,a1,peak,0.87,permitted
EQ OUC,v MZI,CSE,WH82,AAHN,0.04,permitted
DI TSG,q MOU,IPD,LC40,QMRP,0.64,permitted
TR KSI,l BZK,KRO,NY32,GKXL,0.29,denied
PB RIR,u NTE,WHT,GS05,TIVS,0.97,permitted
WS ZCT,g WKF,ORG,KF95,VNYY,0.64,denied
VD VYS,g VQO,PAH,JT13,TNMF,0.76,permitted
AG KGA,a NFF,CMI,HC82,KGWA,0.95,permitted
RT HUN,w TGR,BHP,IN12,CQRG,0.77,permitted
YJ DJY,c VIR,ZYB,IS91,NSGQ,0.8,denied
OD SYQ,h PTS,UDF,SE09,JFFO,0.25,permitted
WL BHO,a SYS,NCP,MX15,SYPQ,0.85,permitted
SB EOV,d BWD,SEW,IN81,IKZA,0.37,permitted
VB BHO,c LXL,ORN,OJ11,VAJM,0.69,permitted
TK KXS,n NIW,YFB,AH18,BVIT,0.84,permitted
YS OTJ,m FSM,DKR,UR39,KRBK,0.7,permitted
MM IBM,v IOX,XHZ,WO54,KYAN,0.14,denied
RV IPW,i APF,TRQ,CJ57,RJXC,0.69,permitted
BB YJT,k HRS,ACO,XG04,XWJO,0.64,permitted
XO KCI,e FXI,ECF,OI17,AUPL,0.45,permitted
IE XRL,z TVT,GZQ,SF74,GCNC,0.61,permitted
XF ZHG,f SBL,CDF,DO02,FAIT,0.83,permitted
RG VMS,p DWI,QJR,UU30,YEZQ,0.25,permitted
VT PWV,s KWS,EDO,LA47,UEMS,0.9,permitted
QK KVR,b LBO,HDK,QH94,HKBU,0.63,permitted
VS VZO,m KQD,VDT,OQ04,HZNE,0.14,permitted
XT LPM,p KKB,ANT,ST07,HMZM,0.9,permitted
others,vip,normal,a1,peak,0.94,permitted
JL UHN,l VNP,FHK,KW43,PDVZ,0.14,permitted
ES TRM,z HNR,ZKI,YP77,DQGC,0.97,permitted
DY NKF,n ZPB,CZD,YM26,ZUMT,0.13,permitted
CP KOX,y BEQ,XPD,KG87,FOVV,0.52,permitted
YP FPE,j SWJ,QJX,XW27,PHNN,0.92,denied
BG YHZ,x UPU,GHA,HC11,ETBS,0.08,permitted
YK EKB,n QGS,BXC,DS27,LANL,0.2,permitted
PX ZEW,a JAM,JCV,ZL81,CLUY,0.94,permitted
BV PLM,p DPG,KLK,FB87,OEBL,0.54,permitted
SX JDK,o LWP,NFK,ZG76,EPDK,0.44,permitted
caraccess,blacklisted,luxe,a2,off,0.48,denied
FQ WVU,n CBW,BHE,ZJ26,DURK,0.94,permitted
TZ NEA,s HKU,PCE,OL52,FICP,0.39,permitted
UE IBF,h EVH,MJO,YW90,PALM,0.43,permitted
YX LCG,s UEI,LJB,CC43,MKVV,0.3,permitted
NW MCG,t ZXM,LXP,KO68,HWLN,0.41,permitted
OU CXY,u NMA,YAE,VX80,STKQ,0.67,permitted
GJ TIP,z KGW,AVZ,IC64,DVKK,0.99,permitted
HM NSY,z UJX,FNZ,PU64,JBOV,0.15,permitted
IU QLQ,n TSI,KEU,KQ07,TTJL,0.08,permitted
RX ANC,j BQH,RGO,IT92,ZGBL,0.59,permitted
WI PFQ,p JVX,HGS,GU60,GGDI,0.29,permitted
GQ DQX,h MSG,SUV,OJ90,URCS,0.23,permitted
others,blacklisted,normal,a1,peak,0.98,denied
YU GCF,v QME,AIP,WM77,BCDJ,0.67,permitted
EA SBM,j AHE,UXS,JJ17,YQSB,0.43,permitted
RX XNF,r ICA,ZNV,GG67,VBFF,0.46,permitted
NR KQX,r UDU,JPT,OB13,CHEM,0.47,denied
EN LEE,a KKC,SQN,IA02,FZVX,0.51,permitted
HK POV,x QPD,CTS,XO07,SPTS,0.48,permitted
partner,vip,luxe,a3,peak,0.64,permitted
WG BWJ,p JQH,SMA,OA50,KBCB,0.25,permitted
BA ORN,h BJS,DPY,JG54,LNHZ,0.69,permitted
FK HOL,p LSB,YUI,GV85,GKJS,0.83,denied
HU LUX,z ZMC,OOV,PF40,ZSAJ,0.56,permitted
RL ULJ,k XSQ,FLY,XA23,RIYU,0.89,permitted
YB OCM,h DNC,AKH,CY08,XDMW,0.43,permitted
EV FGS,q IUR,JXR,ET06,QNAS,0.52,permitted
YI EQC,c CEG,OKV,IO35,ZNAQ,0.11,permitted
HO PSD,r VMT,OMN,WH90,XQWT,0.41,permitted
ZF MHS,i VLR,MPX,TJ80,TPUK,0.02,permitted
GQ TKQ,x PGQ,YFD,YU53,THJB,0.24,permitted
WT NXR,k LLL,OXV,KI79,INOX,0.04,permitted
EI QSX,m BGY,BWY,ZN55,RJBP,0.6,permitted
UR ULH,a DOB,RIA,BO55,MOWQ,0.18,permitted
TR CCJ,k VKW,GWN,JM84,ZSNA,0.59,permitted
ID OKC,b DSM,BOV,HI15,KUTQ,0.53,permitted
VU GOI,y MXJ,PIC,JT83,DEQQ,0.82,permitted
GM ITD,t VWG,HPM,PA96,LVOE,0.92,permitted
WP QEU,t DFT,XRV,ZL53,NFXJ,0.46,permitted
CN ADM,c JQV,VAO,EK08,ISRD,0.47,denied
US GXI,l NEK,AMG,JX67,MSYX,0.96,permitted
CB LKV,h NHR,GGW,GM64,FGLV,0.09,permitted
police,blacklisted,luxe,a3,off,0.01,denied
DD QTG,b KUB,PSH,HN48,QMNQ,0.74,permitted
caraccess,vip,normal,a1,off,0.33,permitted
ZC AVI,g YJH,NUA,DE03,ROVY,0.8,denied
MS DJJ,p HXR,MRG,IQ66,VMLT,0.13,denied
others,blacklisted,normal,a3,off,0.22,denied
MF OJF,d KJF,PJT,AA36,KTTS,0.48,permitted
CF JRP,p ZZQ,RLH,BN51,UDNU,0.36,permitted
FC QKF,n HOQ,RSS,ST36,ZXXB,1.0,permitted
PU DLR,e QRL,XVN,QJ19,BLDF,0.4,permitted
OE XYV,k TXB,QDS,PZ82,RCWB,0.28,permitted
LS DQZ,t MOY,BAI,BF67,RAIY,0.47,permitted
YT OWK,e LIT,YBJ,WL51,ZSGG,0.65,permitted
caraccess,vip,luxe,a3,peak,0.66,permitted
OF VRY,l SLX,TME,KD69,RHKI,0.96,permitted
LO XOM,w KZN,EYM,UV99,CHQT,0.67,permitted
GH RFR,o PPA,RXU,WZ84,FRZA,0.53,permitted
others,blacklisted,normal,a3,peak,0.2,denied
AT ESV,h IJL,RGO,LV39,HTOQ,0.22,permitted
JP WHS,t EHS,TPL,WU27,UHFY,0.21,denied
KU NWX,z XSO,HIN,PX44,ROJR,0.69,permitted
others,blacklisted,normal,a2,peak,0.08,denied
DU JLB,c CHQ,TPU,SV95,IZHJ,0.31,permitted
KW GHU,g SDM,ODZ,JU20,DARL,0.35,permitted
TA AVM,j AHH,MAF,LD15,OROD,0.39,permitted
BA MBO,w ZTJ,OMK,EO29,JXJG,0.12,permitted
IV SOZ,b SHV,OZX,NI72,OCAV,0.59,permitted
GG ITH,b JCB,QAY,GX98,KQNQ,0.46,denied
BP ARI,k DZL,IBA,PY91,NFJN,0.86,permitted
PL HJJ,o BSA,AER,LO84,BJFR,0.04,permitted
TR FWK,s RNN,YJO,EU38,IAYN,0.62,denied
XV GBD,z AAZ,CWJ,OE89,VKIH,0.11,permitted
EX NNG,c FVQ,NTS,KT11,PUUA,0.69,permitted
SU LWO,a XZT,EXD,TS26,PPHV,0.72,permitted
FZ TYE,l FOA,PKP,WK37,BSJZ,0.52,permitted
partner,vip,luxe,a3,off,0.8,permitted
QF AGP,f XJS,CIJ,MM00,KLRL,0.33,permitted
MD YDE,k OMS,NUZ,NT46,XOHD,0.84,permitted
UD VUM,v TMX,IMN,DB04,MFAD,0.57,permitted
BL HOU,f CUX,PWT,KX80,FZXN,0.05,permitted
SN NXZ,v QUV,WAW,TK83,REAV,0.51,permitted
partner,normal,luxe,a2,off,0.87,permitted
HC ECV,e XWT,NJP,VV68,TMZR,0.57,permitted
OX KFM,x MKC,GWP,NG45,VDQP,0.87,denied
